,state,id,name,address,city,zip,phone,ownership,nursing,physical_therapy,occupational_therapy,speech,social,healthaide,startdate,quality,LAT,LON
11678,AB,747981,Scots Health,2 Test Road,Aberdeen,AB12 5GL,9567236600,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,09/28/2015,,57.08193792,-2.246567389
11679,BB,747982,Blackburn Health,3 Burnley Road,Blackburn,BB1 3HN,(0123) 123457,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,09/28/2015,,53.75170996,-2.453369966
11680,GU,747983,Guildford Health,4 Woodlands road,Guildford,GU1 1AR,(0123) 123458,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,09/28/2015,,51.26047401,-0.570127248
11681,HA,747984,Harrow Health,5 Brindley Close,Harrow,HA0 1BU,(0123) 123459,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,09/28/2015,,51.25494026,-0.576489634
11682,TR,747985,Truro Health,6 Penwerris Road,Truro,TR1 3QT,(0123) 123460,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,09/28/2015,,50.26307505,-5.081055961
11683,HD,747986,Huddersfield Health,1 Fore Street,Huddersfield,HD1 1BL,(01234) 123456,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,01/01/1910,3,53.64758866,-1.782909771
11684,HG,747987,Harrogate  Health,2 Fore Street,Harrogate,HG1 1AG,(01234) 123457,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,01/01/1910,3,53.9930446,-1.53895146
11685,HP,747988,Hemel Hempstead Health,3 Fore Street,Hemel Hempstead,HP1 1BH,(01234) 123458,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,01/01/1910,3,51.750132,-0.473111551
11686,HS,747989,Outer Hebrides Health,4 Fore Street,Outer Hebrides,HS1 2AE,(01234) 123459,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,01/01/1910,3,58.20682213,-6.386585758
11687,HR,747990,Hereford Health,5 Fore Street,Hereford,HR1 1AW,(01234) 123460,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,01/01/1910,3,52.07007264,-2.706133672
11688,HU,747991,Hull Health,6 Fore Street,Hull,HU1 1HT,(01234) 123461,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,01/01/1910,3,53.742743,-0.333821105
11689,HX,747992,Halifax Health,7 Fore Street,Halifax,HX1 1DD,(01234) 123462,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,01/01/1910,3,53.721236,-1.859393
11690,IL,747993,Ilford Health,8 Fore Street,Ilford,IG1 1BN,(01234) 123463,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,01/01/1910,3,51.55868348,0.072571
11691,IP,747994,Ipswich Health,9 Fore Street,Ipswich,IP1 1BE,(01234) 123464,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,01/01/1910,3,52.05721264,1.153367828
11692,IV,747995,Inverness Health,10 Fore Street,Inverness,IV1 1DN,(01234) 123465,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,01/01/1910,3,57.47961075,-4.226781688
11693,KA,747996,Kilmarnock Health,11 Fore Street,Kilmarnock,KA1 1DD,(01234) 123466,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,01/01/1910,3,55.61094806,-4.498642159
11694,KT,747997,Cobham Health,12 Fore Street,Cobham,KT1 1DJ,(01234) 123467,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,01/01/1910,3,51.41006342,-0.302056149
11695,KW,747998,Kirkwall Health,13 Fore Street,Kirkwall,KW1 4AP,(01234) 123468,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,14/01/1910,3,58.44151124,-3.092934153
11696,KY,747999,Kirkcaldy Health,14 Fore Street,Kirkcaldy,KY1 1AB,(01234) 123469,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,15/01/1910,3,56.09885556,-3.166243041
11697,L1,748000,Liverpool Health,15 Fore Street,Liverpool,L1 0AJ,(01234) 123470,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,16/01/1910,3,53.39674185,-2.983409234
11698,L2,748001,Liverpool Health,16 Fore Street,Liverpool,L2 0QD,(01234) 123471,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,17/01/1910,3,53.40611099,-2.992861487
11699,L3,748002,Liverpool Health,17 Fore Street,Liverpool,L3 1DX,(01234) 123472,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,18/01/1910,3,53.412555,-2.999556
11700,L4,748003,Liverpool Health,18 Fore Street,Liverpool,L4 0RQ,(01234) 123473,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,19/01/1910,3,53.42960701,-2.961125079
11701,L5,748004,Liverpool Health,19 Fore Street,Liverpool,L5 0PJ,(01234) 123474,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20/01/1910,3,53.42657561,-2.970282175
11702,L6,748005,Liverpool Health,20 Fore Street,Liverpool,L6 0AH,(01234) 123475,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,21/01/1910,3,53.426537,-2.950596
11703,L7,748006,Liverpool Health,21 Fore Street,Liverpool,L7 0ED,(01234) 123476,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,22/01/1910,3,53.410213,-2.946065
11704,L8,748007,Liverpool Health,22 Fore Street,Liverpool,L8 0HA,(01234) 123477,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,23/01/1910,3,53.39165898,-2.952886351
11705,L9,748008,Liverpool Health,23 Fore Street,Liverpool,L9 0EG,(01234) 123478,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,24/01/1910,3,53.46404675,-2.95722
11706,LA,748009,Lancaster Health,24 Fore Street,Lancaster,LA1 1AB,(01234) 123479,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,25/01/1910,3,54.047941,-2.804344262
11707,LD,748010,Llandrindod Wells Health,25 Fore Street,Llandrindod Wells,LD1 5AB,(01234) 123480,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,26/01/1910,3,52.25303128,-3.370459366
11708,LE,748011,Leicester Health,26 Fore Street,Leicester,LE1 1DD,(01234) 123481,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,27/01/1910,3,52.635039,-1.131614
11709,LL,748012,Llandudno Health,27 Fore Street,Llandudno,LL11 0BY,(01234) 123482,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,28/01/1910,3,53.04889153,-3.000084772
11710,LN,748013,Lincoln Health,28 Fore Street,Lincoln,LN1 1AD,(01234) 123483,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,29/01/1910,3,53.24583697,-0.556349815
11711,LS,748014,Leeds Health,29 Fore Street,Leeds,LS1 4WL,(01234) 123484,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,30/01/1910,3,53.7963037,-1.564125592
11712,LU,748015,Luton Health,30 Fore Street,Luton,LU1 1BE,(01234) 123485,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,31/01/1910,3,51.88092123,-0.423706923
11713,M1,748016,Manchester Health,31 Fore Street,Manchester,M1 1AD,(01234) 123486,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,01/02/1910,3,53.48384685,-2.244839
11714,M2,748017,Manchester Health,32 Fore Street,Manchester,M2 1BB,(01234) 123487,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,02/02/1910,3,53.48166073,-2.241752576
11715,M3,748018,Manchester Health,33 Fore Street,Manchester,M3 1EB,(01234) 123488,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,03/02/1910,3,53.491094,-2.24883
11716,M4,748019,Manchester Health,34 Fore Street,Manchester,M4 1BE,(01234) 123489,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,04/02/1910,3,53.48509517,-2.236844275
11717,M5,748020,Manchester Health,35 Fore Street,Manchester,M5 3AF,(01234) 123490,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,05/02/1910,3,53.47643226,-2.281484136
11718,M6,748021,Manchester Health,36 Fore Street,Manchester,M6 5AP,(01234) 123491,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,06/02/1910,3,53.48581774,-2.280838026
11719,M7,748022,Manchester Health,37 Fore Street,Manchester,M7 1BF,(01234) 123492,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,07/02/1910,3,53.49063019,-2.267516191
11720,M8,748023,Manchester Health,38 Fore Street,Manchester,M8 0AD,(01234) 123493,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,08/02/1910,3,53.507303,-2.224846
11721,M9,748024,Manchester Health,39 Fore Street,Manchester,M9 0GL,(01234) 123494,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,09/02/1910,3,53.53793471,-2.233970779
11722,ME,748025,Rochester Health,40 Fore Street,Rochester,ME1 1AG,(01234) 123495,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10/02/1910,3,51.38227962,0.505345352
11723,MK,748026,Milton Keynes Health,41 Fore Street,Milton Keynes,MK1 1BP,(01234) 123496,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11/02/1910,3,52.00044423,-0.717705427
11724,ML,748027,Motherwell Health,42 Fore Street,Motherwell,ML1 1BP,(01234) 123497,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12/02/1910,3,55.79477512,-3.996398212
11725,N1,748028,North London  Health,43 Fore Street,North London ,N1 0AQ,(01234) 123498,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,13/02/1910,3,51.53987847,-0.122151996
11726,N2,748029,North London  Health,44 Fore Street,North London ,N2 0AE,(01234) 123499,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,14/02/1910,3,51.58525083,-0.171467698
11727,N3,748030,North London  Health,45 Fore Street,North London ,N3 1AP,(01234) 123500,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,15/02/1910,3,51.60988221,-0.194207244
11728,N4,748031,North London  Health,46 Fore Street,North London ,N4 1AE,(01234) 123501,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,16/02/1910,3,51.57818483,-0.100266693
11729,N5,748032,North London  Health,47 Fore Street,North London ,N5 1AG,(01234) 123502,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,17/02/1910,3,51.55507036,-0.101143397
11730,N6,748033,North London  Health,48 Fore Street,North London ,N6 4AG,(01234) 123503,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,18/02/1910,3,51.57467735,-0.15636
11731,N7,748034,North London  Health,49 Fore Street,North London ,N7 0AH,(01234) 123504,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,19/02/1910,3,51.55672256,-0.131801599
11732,N8,748035,North London  Health,50 Fore Street,North London ,N8 0AJ,(01234) 123505,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20/02/1910,3,51.58368924,-0.104223091
11733,N9,748036,North London  Health,51 Fore Street,North London ,N9 0AT,(01234) 123506,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,21/02/1910,3,51.62609753,-0.032628926
11734,NE,748037,Newcastle Upon Tyne Health,52 Fore Street,Newcastle Upon Tyne,NE1 1EZ,(01234) 123507,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,22/02/1910,3,54.97154764,-1.612547907
11735,NG,748038,Nottingham Health,53 Fore Street,Nottingham,NG1 1BZ,(01234) 123508,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,23/02/1910,3,52.95604869,-1.140905729
11736,NN,748039,Northampton Health,54 Fore Street,Northampton,NN1 1DD,(01234) 123509,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,24/02/1910,3,52.23627951,-0.894601704
11737,NP,748040,Newport Health,55 Fore Street,Newport,NP10 0AN,(01234) 123510,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,25/02/1910,3,51.59418615,-3.053384065
11738,NR,748041,Norwich Health,56 Fore Street,Norwich,NR1 1BG,(01234) 123511,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,26/02/1910,3,52.62928498,1.300921057
11739,NW,748042,North West London Health,57 Fore Street,North West London,NW1 0BH,(01234) 123512,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,27/02/1910,3,51.53993475,-0.13413311
11740,OL,748043,Oldham Health,58 Fore Street,Oldham,OL1 1BD,(01234) 123513,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,28/02/1910,3,53.53956427,-2.115408914
11741,OX,748044,Oxford Health,59 Fore Street,Oxford,OX1 1AW,(01234) 123514,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,01/03/1910,3,51.74879097,-1.258713267
11742,PA,748045,Paisley Health,60 Fore Street,Paisley,PA1 1BX,(01234) 123515,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,02/03/1910,3,55.84645074,-4.4253291
11743,PE,748046,Peterborough Health,61 Fore Street,Peterborough,PE1 1DP,(01234) 123516,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,03/03/1910,3,52.57143714,-0.242615
11744,PH,748047,Perth Health,62 Fore Street,Perth,PH1 1BP,(01234) 123517,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,04/03/1910,3,56.39051623,-3.456193905
11745,PL,748048,Plymouth Health,63 Fore Street,Plymouth,PL1 1DP,(01234) 123518,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,05/03/1910,3,50.371173,-4.138759
11746,PO,748049,Portsmouth Health,64 Fore Street,Portsmouth,PO1 1BJ,(01234) 123519,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,06/03/1910,3,50.80006156,-1.07887567
11747,PR,748050,Preston Health,65 Fore Street,Preston,PR1 0AJ,(01234) 123520,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,07/03/1910,3,53.75226932,-2.725233339
11748,RG,748051,Reading Health,66 Fore Street,Reading,RG1 1DX,(01234) 123521,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,08/03/1910,3,51.45693188,-0.97403499
11749,RH,748052,Redhill Health,67 Fore Street,Redhill,RH1 1AT,(01234) 123522,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,09/03/1910,3,51.24248652,-0.163301677
11750,RM,748053,Romford Health,68 Fore Street,Romford,RM1 1AU,(01234) 123523,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10/03/1910,3,51.57595201,0.180118
11751,S1,748054,Sheffield Health,69 Fore Street,Sheffield,S1 1GS,(01234) 123524,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11/03/1910,3,53.38154939,-1.464295
11752,S2,748055,Sheffield Health,70 Fore Street,Sheffield,S2 1BD,(01234) 123525,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12/03/1910,3,53.36976716,-1.417880803
11753,S3,748056,Sheffield Health,71 Fore Street,Sheffield,S3 7AP,(01234) 123526,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,13/03/1910,3,53.384084,-1.481567
11754,S4,748057,Sheffield Health,72 Fore Street,Sheffield,S4 7AS,(01234) 123527,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,14/03/1910,3,53.40200525,-1.453087462
11755,S5,748058,Sheffield Health,73 Fore Street,Sheffield,S5 0AW,(01234) 123528,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,15/03/1910,3,53.43271698,-1.450586247
11756,S6,748059,Sheffield Health,74 Fore Street,Sheffield,S6 1AP,(01234) 123529,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,16/03/1910,3,53.43346252,-1.495310428
11757,S7,748060,Sheffield Health,75 Fore Street,Sheffield,S7 1DA,(01234) 123530,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,17/03/1910,3,53.36567092,-1.47876939
11758,S8,748061,Sheffield Health,76 Fore Street,Sheffield,S8 0BH,(01234) 123531,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,18/03/1910,3,53.335716,-1.490067
11759,S9,748062,Sheffield Health,77 Fore Street,Sheffield,S9 1AQ,(01234) 123532,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,19/03/1910,3,53.41462845,-1.425031953
11760,SA,748063,Swansea Health,78 Fore Street,Swansea,SA1 1DP,(01234) 123533,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20/03/1910,3,51.619758,-3.939351
11761,SE,748064,South East London Health,79 Fore Street,South East London,SE1 0AL,(01234) 123534,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,21/03/1910,3,51.50475637,-0.096103121
11762,SG,748065,Stevenage Health,80 Fore Street,Stevenage,SG1 1DS,(01234) 123535,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,22/03/1910,3,51.90337926,-0.201489032
11763,SK,748066,Stockport Health,81 Fore Street,Stockport,SK1 1ED,(01234) 123536,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,23/03/1910,3,53.40756018,-2.161561721
11764,SL,748067,Slough Health,82 Fore Street,Slough,SL0 0AT,(01234) 123537,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,24/03/1910,3,51.52713771,-0.507918367
11765,SM,748068,Sutton Health,83 Fore Street,Sutton,SM1 1BS,(01234) 123538,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,25/03/1910,3,51.360305,-0.19364051
11766,SN,748069,Swindon Health,84 Fore Street,Swindon,SN1 1BL,(01234) 123539,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,26/03/1910,3,51.561975,-1.786624
11767,SO,748070,Southampton Health,85 Fore Street,Southampton,SO14 0AP,(01234) 123540,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,27/03/1910,3,50.91112558,-1.398131112
11768,SP,748071,Salisbury Health,86 Fore Street,Salisbury,SP1 1BT,(01234) 123541,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,28/03/1910,3,51.0696397,-1.797270611
11769,SR,748072,Sunderland Health,87 Fore Street,Sunderland,SR1 1EA,(01234) 123542,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,29/03/1910,3,54.907177,-1.378205
11770,SS,748073,Southend-on-Sea Health,88 Fore Street,Southend-on-Sea,SS0 0AL,(01234) 123543,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,30/03/1910,3,51.55546561,0.679119396
11771,ST,748074,Stoke-on-Trent Health,89 Fore Street,Stoke-on-Trent,ST1 1DR,(01234) 123544,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,31/03/1910,3,53.02514251,-2.177764367
11772,SW,748075,South West London Health,90 Fore Street,South West London,SW10 0AR,(01234) 123545,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,01/04/1910,3,51.485023,-0.179614
11773,SY,748076,Shrewsbury Health,91 Fore Street,Shrewsbury,SY1 1DL,(01234) 123546,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,02/04/1910,3,52.70861159,-2.7506812
11774,TA,748077,Taunton Health,92 Fore Street,Taunton,TA1 1BH,(01234) 123547,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,03/04/1910,3,51.02269464,-3.10823
11775,TD,748078,Galashiels Health,93 Fore Street,Galashiels,TD1 1DU,(01234) 123548,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,04/04/1910,3,55.61543127,-2.812145
11776,TF,748079,Telford Health,94 Fore Street,Telford,TF1 1DD,(01234) 123549,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,05/04/1910,3,52.70189545,-2.519273834
11777,TN,748080,Tonbridge Health,95 Fore Street,Tonbridge,TN1 1DG,(01234) 123550,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,06/04/1910,3,51.12727396,0.259921652
11778,TQ,748081,Torquay Health,96 Fore Street,Torquay,TQ1 1DD,(01234) 123551,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,07/04/1910,3,50.46197025,-3.523943679
11779,TR,748082,Truro Health,97 Fore Street,Truro,TR1 1BY,(01234) 123552,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,08/04/1910,3,50.27052113,-5.048427012
11780,TS,748083,Cleveland Health,98 Fore Street,Cleveland,TS1 1HG,(01234) 123553,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,09/04/1910,3,54.578368,-1.231993
11781,TW,748084,Twickenham Health,99 Fore Street,Twickenham,TW1 1BA,(01234) 123554,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10/04/1910,3,51.45286834,-0.33092348
11782,UB,748085,Southall Health,100 Fore Street,Southall,UB1 1BF,(01234) 123555,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11/04/1910,3,51.51604468,-0.383296458
11783,W1,748086,West London  Health,101 Fore Street,West London ,W10 4AQ,(01234) 123556,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12/04/1910,3,51.53204088,-0.21395628
11784,W2,748087,West London  Health,102 Fore Street,West London ,W2 1BS,(01234) 123557,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,13/04/1910,3,51.52236048,-0.173944729
11785,W3,748088,West London  Health,103 Fore Street,West London ,W3 0AQ,(01234) 123558,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,14/04/1910,3,51.52097816,-0.274496724
11786,W4,748089,West London  Health,104 Fore Street,West London ,W4 1AP,(01234) 123559,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,15/04/1910,3,51.50251606,-0.256203835
11787,W5,748090,West London  Health,105 Fore Street,West London ,W5 1AQ,(01234) 123560,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,16/04/1910,3,51.52963267,-0.302498849
11788,W6,748091,West London  Health,106 Fore Street,West London ,W6 0AQ,(01234) 123561,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,17/04/1910,3,51.50035394,-0.229531106
11789,W7,748092,West London  Health,107 Fore Street,West London ,W7 1JP,(01234) 123562,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,18/04/1910,3,51.52582799,-0.335061251
11790,W8,748093,West London  Health,108 Fore Street,West London ,W8 4AQ,(01234) 123563,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,19/04/1910,3,51.50528671,-0.19154407
11791,W9,748094,West London  Health,109 Fore Street,West London ,W9 1AW,(01234) 123564,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20/04/1910,3,51.52403934,-0.180018
11792,WA,748095,Warrington Health,110 Fore Street,Warrington,WA1 1ED,(01234) 123565,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,21/04/1910,3,53.3878778,-2.594692307
11793,WC,748096,West Central London Health,111 Fore Street,West Central London,WC1A 1HB,(01234) 123566,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,22/04/1910,3,51.516846,-0.128115
11794,WD,748097,Watford Health,112 Fore Street,Watford,WD17 1BN,(01234) 123567,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,23/04/1910,3,51.66108957,-0.40049238
11795,WF,748098,Wakefield Health,113 Fore Street,Wakefield,WF1 1DR,(01234) 123568,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,24/04/1910,3,53.679835,-1.501379
11796,WN,748099,Wigan Health,114 Fore Street,Wigan,WN1 1AZ,(01234) 123569,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,25/04/1910,3,53.54583508,-2.629669137
11797,WR,748100,Worcester Health,115 Fore Street,Worcester,WR1 1EE,(01234) 123570,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,26/04/1910,3,52.19584041,-2.222843393
11798,WS,748101,Walsall Health,116 Fore Street,Walsall,WS1 1ER,(01234) 123571,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,27/04/1910,3,52.58457523,-1.983589
11799,WV,748102,Wolverhampton Health,117 Fore Street,Wolverhampton,WV1 1ES,(01234) 123572,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,28/04/1910,3,52.58541838,-2.124792
11800,YO,748103,York Health,118 Fore Street,York,YO1 0SQ,(01234) 123573,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,29/04/1910,3,53.95963181,-1.0856321
11801,ZE,748104,Lerwick Health,119 Fore Street,Lerwick,ZE1 0AT,(01234) 123574,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,30/04/1910,3,60.15060807,-1.142888226
