,id,name,address,address2,city,state,zip,county,phone,CMS Region,ownership,startdate,LAT,LON
4487,921590,Scot Hospice,25 Test road,,,AB,AB14 0TQ,,(909) 763-2553,9,Non-Profit,04/12/2017,57.10155692,-2.268485752
4488,921591,Blackburn Hospice,2 Burnley Road,,Blackburn,BB,BB1 3HN,Lancashire,(0123) 123457,9,Non-Profit,01/01/1970,53.75170996,-2.453369966
4489,921592,Guildford Hospice,3 Woodlands road,,Guildford,GU,GU1 1AR,Surrey,(0123) 123458,9,Non-Profit,01/01/1970,51.26047401,-0.570127248
4490,921593,Harrow Hospice,4 Brindley Close,,Harrow,HA,HA0 1BU,Middlesex,(0123) 123459,9,Non-Profit,01/01/1970,51.25494026,-0.576489634
4491,921594,Truro Hospice,1 Penwerris Road,,Truro,TR,TR1 3QT,Cornwall,(0123) 123460,9,Non-Profit,01/01/1970,50.26307505,-5.081055961
4492,921595,Huddersfield Hospice,1 Fore Street,,Huddersfield,HD,HD1 1BL,West Yorkshire,(01234) 123456,4,Non-Profit,01/01/1910,53.64758866,-1.782909771
4493,921596,Harrogate Hospice,2 Fore Street,,Harrogate,HG,HG1 1AG,North Yorkshire,(01234) 123457,4,Non-Profit,01/01/1910,53.9930446,-1.53895146
4494,921597,Hemel Hempstead Hospice,3 Fore Street,,Hemel Hempstead,HP,HP1 1BH,Hertfordshire,(01234) 123458,4,Non-Profit,01/01/1910,51.750132,-0.473111551
4495,921598,Outer Hebrides Hospice,4 Fore Street,,Outer Hebrides,HS,HS1 2AE,Islands,(01234) 123459,4,Non-Profit,01/01/1910,58.20682213,-6.386585758
4496,921599,Hereford Hospice,5 Fore Street,,Hereford,HR,HR1 1AW,Hertfordshire,(01234) 123460,4,Non-Profit,01/01/1910,52.07007264,-2.706133672
4497,921600,Hull Hospice,6 Fore Street,,Hull,HU,HU1 1HT,East Riding,(01234) 123461,4,Non-Profit,01/01/1910,53.742743,-0.333821105
4498,921601,Halifax Hospice,7 Fore Street,,Halifax,HX,HX1 1DD,West Yorkshire,(01234) 123462,4,Non-Profit,01/01/1910,53.721236,-1.859393
4499,921602,Ilford Hospice,8 Fore Street,,Ilford,IL,IG1 1BN,Essex,(01234) 123463,4,Non-Profit,01/01/1910,51.55868348,0.072571
4500,921603,Ipswich Hospice,9 Fore Street,,Ipswich,IP,IP1 1BE,Suffolk,(01234) 123464,4,Non-Profit,01/01/1910,52.05721264,1.153367828
4501,921604,Inverness Hospice,10 Fore Street,,Inverness,IV,IV1 1DN,Invernesshire,(01234) 123465,4,Non-Profit,01/01/1910,57.47961075,-4.226781688
4502,921605,Kilmarnock Hospice,11 Fore Street,,Kilmarnock,KA,KA1 1DD,East Ayrshire,(01234) 123466,4,Non-Profit,01/01/1910,55.61094806,-4.498642159
4503,921606,Cobham Hospice,12 Fore Street,,Cobham,KT,KT1 1DJ,Surrey,(01234) 123467,4,Non-Profit,01/01/1910,51.41006342,-0.302056149
4504,921607,Kirkwall Hospice,13 Fore Street,,Kirkwall,KW,KW1 4AP,Highland,(01234) 123468,4,Non-Profit,02/01/1910,58.44151124,-3.092934153
4505,921608,Kirkcaldy Hospice,14 Fore Street,,Kirkcaldy,KY,KY1 1AB,Fife,(01234) 123469,4,Non-Profit,03/01/1910,56.09885556,-3.166243041
4506,921609,Liverpool Hospice,15 Fore Street,,Liverpool,L1,L1 0AJ,Merseyside,(01234) 123470,4,Non-Profit,04/01/1910,53.39674185,-2.983409234
4507,921610,Liverpool Hospice,16 Fore Street,,Liverpool,L2,L2 0QD,Merseyside,(01234) 123471,4,Non-Profit,05/01/1910,53.40611099,-2.992861487
4508,921611,Liverpool Hospice,17 Fore Street,,Liverpool,L3,L3 1DX,Merseyside,(01234) 123472,4,Non-Profit,06/01/1910,53.412555,-2.999556
4509,921612,Liverpool Hospice,18 Fore Street,,Liverpool,L4,L4 0RQ,Merseyside,(01234) 123473,4,Non-Profit,07/01/1910,53.42960701,-2.961125079
4510,921613,Liverpool Hospice,19 Fore Street,,Liverpool,L5,L5 0PJ,Merseyside,(01234) 123474,4,Non-Profit,08/01/1910,53.42657561,-2.970282175
4511,921614,Liverpool Hospice,20 Fore Street,,Liverpool,L6,L6 0AH,Merseyside,(01234) 123475,4,Non-Profit,09/01/1910,53.426537,-2.950596
4512,921615,Liverpool Hospice,21 Fore Street,,Liverpool,L7,L7 0ED,Merseyside,(01234) 123476,4,Non-Profit,10/01/1910,53.410213,-2.946065
4513,921616,Liverpool Hospice,22 Fore Street,,Liverpool,L8,L8 0HA,Merseyside,(01234) 123477,4,Non-Profit,11/01/1910,53.39165898,-2.952886351
4514,921617,Liverpool Hospice,23 Fore Street,,Liverpool,L9,L9 0EG,Merseyside,(01234) 123478,4,Non-Profit,12/01/1910,53.46404675,-2.95722
4515,921618,Lancaster Hospice,24 Fore Street,,Lancaster,LA,LA1 1AB,Lancashire,(01234) 123479,4,Non-Profit,13/01/1910,54.047941,-2.804344262
4516,921619,Llandrindod Wells Hospice,25 Fore Street,,Llandrindod Wells,LD,LD1 5AB,Powys,(01234) 123480,4,Non-Profit,14/01/1910,52.25303128,-3.370459366
4517,921620,Leicester Hospice,26 Fore Street,,Leicester,LE,LE1 1DD,Leicestershire,(01234) 123481,4,Non-Profit,15/01/1910,52.635039,-1.131614
4518,921621,Llandudno Hospice,27 Fore Street,,Llandudno,LL,LL11 0BY,Conwy,(01234) 123482,4,Non-Profit,16/01/1910,53.04889153,-3.000084772
4519,921622,Lincoln Hospice,28 Fore Street,,Lincoln,LN,LN1 1AD,Lincolnshire,(01234) 123483,4,Non-Profit,17/01/1910,53.24583697,-0.556349815
4520,921623,Leeds Hospice,29 Fore Street,,Leeds,LS,LS1 4WL,WestYorkshire,(01234) 123484,4,Non-Profit,18/01/1910,53.7963037,-1.564125592
4521,921624,Luton Hospice,30 Fore Street,,Luton,LU,LU1 1BE,Bedfordshire,(01234) 123485,4,Non-Profit,19/01/1910,51.88092123,-0.423706923
4522,921625,Manchester Hospice,31 Fore Street,,Manchester,M1,M1 1AD,Lancashire,(01234) 123486,4,Non-Profit,20/01/1910,53.48384685,-2.244839
4523,921626,Manchester Hospice,32 Fore Street,,Manchester,M2,M2 1BB,Lancashire,(01234) 123487,4,Non-Profit,21/01/1910,53.48166073,-2.241752576
4524,921627,Manchester Hospice,33 Fore Street,,Manchester,M3,M3 1EB,Lancashire,(01234) 123488,4,Non-Profit,22/01/1910,53.491094,-2.24883
4525,921628,Manchester Hospice,34 Fore Street,,Manchester,M4,M4 1BE,Lancashire,(01234) 123489,4,Non-Profit,23/01/1910,53.48509517,-2.236844275
4526,921629,Manchester Hospice,35 Fore Street,,Manchester,M5,M5 3AF,Lancashire,(01234) 123490,4,Non-Profit,24/01/1910,53.47643226,-2.281484136
4527,921630,Manchester Hospice,36 Fore Street,,Manchester,M6,M6 5AP,Lancashire,(01234) 123491,4,Non-Profit,25/01/1910,53.48581774,-2.280838026
4528,921631,Manchester Hospice,37 Fore Street,,Manchester,M7,M7 1BF,Lancashire,(01234) 123492,4,Non-Profit,26/01/1910,53.49063019,-2.267516191
4529,921632,Manchester Hospice,38 Fore Street,,Manchester,M8,M8 0AD,Lancashire,(01234) 123493,4,Non-Profit,27/01/1910,53.507303,-2.224846
4530,921633,Manchester Hospice,39 Fore Street,,Manchester,M9,M9 0GL,Lancashire,(01234) 123494,4,Non-Profit,28/01/1910,53.53793471,-2.233970779
4531,921634,Rochester Hospice,40 Fore Street,,Rochester,ME,ME1 1AG,Kent,(01234) 123495,4,Non-Profit,29/01/1910,51.38227962,0.505345352
4532,921635,Milton Keynes Hospice,41 Fore Street,,Milton Keynes,MK,MK1 1BP,Buckinghamshire,(01234) 123496,4,Non-Profit,30/01/1910,52.00044423,-0.717705427
4533,921636,Motherwell Hospice,42 Fore Street,,Motherwell,ML,ML1 1BP,Lanarkshire,(01234) 123497,4,Non-Profit,31/01/1910,55.79477512,-3.996398212
4534,921637,North London  Hospice,43 Fore Street,,North London ,N1,N1 0AQ,Hertfordshire,(01234) 123498,4,Non-Profit,01/02/1910,51.53987847,-0.122151996
4535,921638,North London  Hospice,44 Fore Street,,North London ,N2,N2 0AE,Hertfordshire,(01234) 123499,4,Non-Profit,02/02/1910,51.58525083,-0.171467698
4536,921639,North London  Hospice,45 Fore Street,,North London ,N3,N3 1AP,Hertfordshire,(01234) 123500,4,Non-Profit,03/02/1910,51.60988221,-0.194207244
4537,921640,North London  Hospice,46 Fore Street,,North London ,N4,N4 1AE,Hertfordshire,(01234) 123501,4,Non-Profit,04/02/1910,51.57818483,-0.100266693
4538,921641,North London  Hospice,47 Fore Street,,North London ,N5,N5 1AG,Hertfordshire,(01234) 123502,4,Non-Profit,05/02/1910,51.55507036,-0.101143397
4539,921642,North London  Hospice,48 Fore Street,,North London ,N6,N6 4AG,Hertfordshire,(01234) 123503,4,Non-Profit,06/02/1910,51.57467735,-0.15636
4540,921643,North London  Hospice,49 Fore Street,,North London ,N7,N7 0AH,Hertfordshire,(01234) 123504,4,Non-Profit,07/02/1910,51.55672256,-0.131801599
4541,921644,North London  Hospice,50 Fore Street,,North London ,N8,N8 0AJ,Hertfordshire,(01234) 123505,4,Non-Profit,08/02/1910,51.58368924,-0.104223091
4542,921645,North London  Hospice,51 Fore Street,,North London ,N9,N9 0AT,Hertfordshire,(01234) 123506,4,Non-Profit,09/02/1910,51.62609753,-0.032628926
4543,921646,Newcastle Upon Tyne Hospice,52 Fore Street,,Newcastle Upon Tyne,NE,NE1 1EZ,Northumberland,(01234) 123507,4,Non-Profit,10/02/1910,54.97154764,-1.612547907
4544,921647,Nottingham Hospice,53 Fore Street,,Nottingham,NG,NG1 1BZ,Nottinghamshire,(01234) 123508,4,Non-Profit,11/02/1910,52.95604869,-1.140905729
4545,921648,Northampton Hospice,54 Fore Street,,Northampton,NN,NN1 1DD,Northamptonshire,(01234) 123509,4,Non-Profit,12/02/1910,52.23627951,-0.894601704
4546,921649,Newport Hospice,55 Fore Street,,Newport,NP,NP10 0AN,Monmouthshire,(01234) 123510,4,Non-Profit,13/02/1910,51.59418615,-3.053384065
4547,921650,Norwich Hospice,56 Fore Street,,Norwich,NR,NR1 1BG,Norfolk,(01234) 123511,4,Non-Profit,14/02/1910,52.62928498,1.300921057
4548,921651,North West London Hospice,57 Fore Street,,North West London,NW,NW1 0BH,Hertfordshire,(01234) 123512,4,Non-Profit,15/02/1910,51.53993475,-0.13413311
4549,921652,Oldham Hospice,58 Fore Street,,Oldham,OL,OL1 1BD,GreaterManchester,(01234) 123513,4,Non-Profit,16/02/1910,53.53956427,-2.115408914
4550,921653,Oxford Hospice,59 Fore Street,,Oxford,OX,OX1 1AW,Oxfordshire,(01234) 123514,4,Non-Profit,17/02/1910,51.74879097,-1.258713267
4551,921654,Paisley Hospice,60 Fore Street,,Paisley,PA,PA1 1BX,Renfrewshire,(01234) 123515,4,Non-Profit,18/02/1910,55.84645074,-4.4253291
4552,921655,Peterborough Hospice,61 Fore Street,,Peterborough,PE,PE1 1DP,Cambridgeshire,(01234) 123516,4,Non-Profit,19/02/1910,52.57143714,-0.242615
4553,921656,Perth Hospice,62 Fore Street,,Perth,PH,PH1 1BP,Perthshire,(01234) 123517,4,Non-Profit,20/02/1910,56.39051623,-3.456193905
4554,921657,Plymouth Hospice,63 Fore Street,,Plymouth,PL,PL1 1DP,Devon,(01234) 123518,4,Non-Profit,21/02/1910,50.371173,-4.138759
4555,921658,Portsmouth Hospice,64 Fore Street,,Portsmouth,PO,PO1 1BJ,Hampshire,(01234) 123519,4,Non-Profit,22/02/1910,50.80006156,-1.07887567
4556,921659,Preston Hospice,65 Fore Street,,Preston,PR,PR1 0AJ,Lancashire,(01234) 123520,4,Non-Profit,23/02/1910,53.75226932,-2.725233339
4557,921660,Reading Hospice,66 Fore Street,,Reading,RG,RG1 1DX,Berkshire,(01234) 123521,4,Non-Profit,24/02/1910,51.45693188,-0.97403499
4558,921661,Redhill Hospice,67 Fore Street,,Redhill,RH,RH1 1AT,Surrey,(01234) 123522,4,Non-Profit,25/02/1910,51.24248652,-0.163301677
4559,921662,Romford Hospice,68 Fore Street,,Romford,RM,RM1 1AU,Essex,(01234) 123523,4,Non-Profit,26/02/1910,51.57595201,0.180118
4560,921663,Sheffield Hospice,69 Fore Street,,Sheffield,S1,S1 1GS,SouthYorkshire ,(01234) 123524,4,Non-Profit,27/02/1910,53.38154939,-1.464295
4561,921664,Sheffield Hospice,70 Fore Street,,Sheffield,S2,S2 1BD,SouthYorkshire ,(01234) 123525,4,Non-Profit,28/02/1910,53.36976716,-1.417880803
4562,921665,Sheffield Hospice,71 Fore Street,,Sheffield,S3,S3 7AP,SouthYorkshire ,(01234) 123526,4,Non-Profit,01/03/1910,53.384084,-1.481567
4563,921666,Sheffield Hospice,72 Fore Street,,Sheffield,S4,S4 7AS,SouthYorkshire ,(01234) 123527,4,Non-Profit,02/03/1910,53.40200525,-1.453087462
4564,921667,Sheffield Hospice,73 Fore Street,,Sheffield,S5,S5 0AW,SouthYorkshire ,(01234) 123528,4,Non-Profit,03/03/1910,53.43271698,-1.450586247
4565,921668,Sheffield Hospice,74 Fore Street,,Sheffield,S6,S6 1AP,SouthYorkshire ,(01234) 123529,4,Non-Profit,04/03/1910,53.43346252,-1.495310428
4566,921669,Sheffield Hospice,75 Fore Street,,Sheffield,S7,S7 1DA,SouthYorkshire ,(01234) 123530,4,Non-Profit,05/03/1910,53.36567092,-1.47876939
4567,921670,Sheffield Hospice,76 Fore Street,,Sheffield,S8,S8 0BH,SouthYorkshire ,(01234) 123531,4,Non-Profit,06/03/1910,53.335716,-1.490067
4568,921671,Sheffield Hospice,77 Fore Street,,Sheffield,S9,S9 1AQ,SouthYorkshire ,(01234) 123532,4,Non-Profit,07/03/1910,53.41462845,-1.425031953
4569,921672,Swansea Hospice,78 Fore Street,,Swansea,SA,SA1 1DP,Glamorgan,(01234) 123533,4,Non-Profit,08/03/1910,51.619758,-3.939351
4570,921673,South East London Hospice,79 Fore Street,,South East London,SE,SE1 0AL,GreaterLondon,(01234) 123534,4,Non-Profit,09/03/1910,51.50475637,-0.096103121
4571,921674,Stevenage Hospice,80 Fore Street,,Stevenage,SG,SG1 1DS,Hertfordshire,(01234) 123535,4,Non-Profit,10/03/1910,51.90337926,-0.201489032
4572,921675,Stockport Hospice,81 Fore Street,,Stockport,SK,SK1 1ED,GreaterManchester,(01234) 123536,4,Non-Profit,11/03/1910,53.40756018,-2.161561721
4573,921676,Slough Hospice,82 Fore Street,,Slough,SL,SL0 0AT,Buckinghamshire,(01234) 123537,4,Non-Profit,12/03/1910,51.52713771,-0.507918367
4574,921677,Sutton Hospice,83 Fore Street,,Sutton,SM,SM1 1BS,GreaterLondon,(01234) 123538,4,Non-Profit,13/03/1910,51.360305,-0.19364051
4575,921678,Swindon Hospice,84 Fore Street,,Swindon,SN,SN1 1BL,Wiltshire,(01234) 123539,4,Non-Profit,14/03/1910,51.561975,-1.786624
4576,921679,Southampton Hospice,85 Fore Street,,Southampton,SO,SO14 0AP,Hampshire,(01234) 123540,4,Non-Profit,15/03/1910,50.91112558,-1.398131112
4577,921680,Salisbury Hospice,86 Fore Street,,Salisbury,SP,SP1 1BT,Wiltshire,(01234) 123541,4,Non-Profit,16/03/1910,51.0696397,-1.797270611
4578,921681,Sunderland Hospice,87 Fore Street,,Sunderland,SR,SR1 1EA,TyneAndWear,(01234) 123542,4,Non-Profit,17/03/1910,54.907177,-1.378205
4579,921682,Southend-on-Sea Hospice,88 Fore Street,,Southend-on-Sea,SS,SS0 0AL,Essex,(01234) 123543,4,Non-Profit,18/03/1910,51.55546561,0.679119396
4580,921683,Stoke-on-Trent Hospice,89 Fore Street,,Stoke-on-Trent,ST,ST1 1DR,Staffordshire,(01234) 123544,4,Non-Profit,19/03/1910,53.02514251,-2.177764367
4581,921684,South West London Hospice,90 Fore Street,,South West London,SW,SW10 0AR,GreaterLondon,(01234) 123545,4,Non-Profit,20/03/1910,51.485023,-0.179614
4582,921685,Shrewsbury Hospice,91 Fore Street,,Shrewsbury,SY,SY1 1DL,Shropshire,(01234) 123546,4,Non-Profit,21/03/1910,52.70861159,-2.7506812
4583,921686,Taunton Hospice,92 Fore Street,,Taunton,TA,TA1 1BH,Somerset,(01234) 123547,4,Non-Profit,22/03/1910,51.02269464,-3.10823
4584,921687,Galashiels Hospice,93 Fore Street,,Galashiels,TD,TD1 1DU,Roxburgh,(01234) 123548,4,Non-Profit,23/03/1910,55.61543127,-2.812145
4585,921688,Telford Hospice,94 Fore Street,,Telford,TF,TF1 1DD,Shropshire,(01234) 123549,4,Non-Profit,24/03/1910,52.70189545,-2.519273834
4586,921689,Tonbridge Hospice,95 Fore Street,,Tonbridge,TN,TN1 1DG,Kent,(01234) 123550,4,Non-Profit,25/03/1910,51.12727396,0.259921652
4587,921690,Torquay Hospice,96 Fore Street,,Torquay,TQ,TQ1 1DD,Devon,(01234) 123551,4,Non-Profit,26/03/1910,50.46197025,-3.523943679
4588,921691,Truro Hospice,97 Fore Street,,Truro,TR,TR1 1BY,Cornwall,(01234) 123552,4,Non-Profit,27/03/1910,50.27052113,-5.048427012
4589,921692,Cleveland Hospice,98 Fore Street,,Cleveland,TS,TS1 1HG,NorthYorkshire,(01234) 123553,4,Non-Profit,28/03/1910,54.578368,-1.231993
4590,921693,Twickenham Hospice,99 Fore Street,,Twickenham,TW,TW1 1BA,Middlesex,(01234) 123554,4,Non-Profit,29/03/1910,51.45286834,-0.33092348
4591,921694,Southall Hospice,100 Fore Street,,Southall,UB,UB1 1BF,GreaterLondon,(01234) 123555,4,Non-Profit,30/03/1910,51.51604468,-0.383296458
4592,921695,West London  Hospice,101 Fore Street,,West London ,W1,W10 4AQ,GreaterLondon,(01234) 123556,4,Non-Profit,31/03/1910,51.53204088,-0.21395628
4593,921696,West London  Hospice,102 Fore Street,,West London ,W2,W2 1BS,GreaterLondon,(01234) 123557,4,Non-Profit,01/04/1910,51.52236048,-0.173944729
4594,921697,West London  Hospice,103 Fore Street,,West London ,W3,W3 0AQ,GreaterLondon,(01234) 123558,4,Non-Profit,02/04/1910,51.52097816,-0.274496724
4595,921698,West London  Hospice,104 Fore Street,,West London ,W4,W4 1AP,GreaterLondon,(01234) 123559,4,Non-Profit,03/04/1910,51.50251606,-0.256203835
4596,921699,West London  Hospice,105 Fore Street,,West London ,W5,W5 1AQ,GreaterLondon,(01234) 123560,4,Non-Profit,04/04/1910,51.52963267,-0.302498849
4597,921700,West London  Hospice,106 Fore Street,,West London ,W6,W6 0AQ,GreaterLondon,(01234) 123561,4,Non-Profit,05/04/1910,51.50035394,-0.229531106
4598,921701,West London  Hospice,107 Fore Street,,West London ,W7,W7 1JP,GreaterLondon,(01234) 123562,4,Non-Profit,06/04/1910,51.52582799,-0.335061251
4599,921702,West London  Hospice,108 Fore Street,,West London ,W8,W8 4AQ,GreaterLondon,(01234) 123563,4,Non-Profit,07/04/1910,51.50528671,-0.19154407
4600,921703,West London  Hospice,109 Fore Street,,West London ,W9,W9 1AW,GreaterLondon,(01234) 123564,4,Non-Profit,08/04/1910,51.52403934,-0.180018
4601,921704,Warrington Hospice,110 Fore Street,,Warrington,WA,WA1 1ED,Cheshire,(01234) 123565,4,Non-Profit,09/04/1910,53.3878778,-2.594692307
4602,921705,West Central London Hospice,111 Fore Street,,West Central London,WC,WC1A 1HB,GreaterLondon,(01234) 123566,4,Non-Profit,10/04/1910,51.516846,-0.128115
4603,921706,Watford Hospice,112 Fore Street,,Watford,WD,WD17 1BN,Hertfordshire,(01234) 123567,4,Non-Profit,11/04/1910,51.66108957,-0.40049238
4604,921707,Wakefield Hospice,113 Fore Street,,Wakefield,WF,WF1 1DR,WestYorkshire,(01234) 123568,4,Non-Profit,12/04/1910,53.679835,-1.501379
4605,921708,Wigan Hospice,114 Fore Street,,Wigan,WN,WN1 1AZ,GreaterManchester,(01234) 123569,4,Non-Profit,13/04/1910,53.54583508,-2.629669137
4606,921709,Worcester Hospice,115 Fore Street,,Worcester,WR,WR1 1EE,Worcestershire,(01234) 123570,4,Non-Profit,14/04/1910,52.19584041,-2.222843393
4607,921710,Walsall Hospice,116 Fore Street,,Walsall,WS,WS1 1ER,WestMidlands,(01234) 123571,4,Non-Profit,15/04/1910,52.58457523,-1.983589
4608,921711,Wolverhampton Hospice,117 Fore Street,,Wolverhampton,WV,WV1 1ES,WestMidlands,(01234) 123572,4,Non-Profit,16/04/1910,52.58541838,-2.124792
4609,921712,York Hospice,118 Fore Street,,York,YO,YO1 0SQ,NorthYorkshire,(01234) 123573,4,Non-Profit,17/04/1910,53.95963181,-1.0856321
4610,921713,Lerwick Hospice,119 Fore Street,,Lerwick,ZE,ZE1 0AT,Shetland,(01234) 123574,4,Non-Profit,18/04/1910,60.15060807,-1.142888226
