id,name,address,city,state,zip,phone,type,ownership,emergency,quality,LAT,LON,EBTPU,PCT,PRRP,SIPU,PTSD_DOM,DH,WSDTT,SUPT,WTRP
0438V,Aberdeen VA Clinic,78 Health Road,Aberdeen,AB,AB21 9AS,605-384-2340,VA Facility,government,no,Not Available,57.17642552,-2.174919743,,,,,,,,,
0439V,Blackburn ,22 Burnley Road,Blackburn,BB,BB1 3HN,(0123) 123457,VA Facility,Government,no,Not Available,53.75170996,-2.453369966,,,,,,,,,
0440V,Guildford,32 Woodlands road,Guildford,GU,GU1 1AR,(0123) 123458,VA Facility,Government,no,Not Available,51.26047401,-0.570127248,,,,,,,,,
0441V,Harrow ,42 Brindley Close,Harrow,HA,HA0 1BU,(0123) 123459,VA Facility,Government,no,Not Available,51.25494026,-0.576489634,,,,,,,,,
0442V,Truro ,21 Penwerris Road,Truro,TR,TR1 3QT,(0123) 123460,VA Facility,Government,no,Not Available,50.26307505,-5.081055961,,,,,,,,,
0443V,Huddersfield VA Centre,1 Fore Street,Huddersfield,HD,HD1 1BL,(01234) 123456,VA Facility,Government,no,Not Available,53.64758866,-1.782909771,,,,,,,,,
444V,Harrogate VA Centre,2 Fore Street,Harrogate,HG,HG1 1AG,(01234) 123457,VA Facility,Government,no,Not Available,53.9930446,-1.53895146,,,,,,,,,
445V,Hemel Hempstead VA Centre,3 Fore Street,Hemel Hempstead,HP,HP1 1BH,(01234) 123458,VA Facility,Government,no,Not Available,51.750132,-0.473111551,,,,,,,,,
446V,Outer Hebrides VA Centre,4 Fore Street,Outer Hebrides,HS,HS1 2AE,(01234) 123459,VA Facility,Government,no,Not Available,58.20682213,-6.386585758,,,,,,,,,
447V,Hereford VA Centre,5 Fore Street,Hereford,HR,HR1 1AW,(01234) 123460,VA Facility,Government,no,Not Available,52.07007264,-2.706133672,,,,,,,,,
448V,Hull VA Centre,6 Fore Street,Hull,HU,HU1 1HT,(01234) 123461,VA Facility,Government,no,Not Available,53.742743,-0.333821105,,,,,,,,,
449V,Halifax VA Centre,7 Fore Street,Halifax,HX,HX1 1DD,(01234) 123462,VA Facility,Government,no,Not Available,53.721236,-1.859393,,,,,,,,,
450V,Ilford VA Centre,8 Fore Street,Ilford,IL,IG1 1BN,(01234) 123463,VA Facility,Government,no,Not Available,51.55868348,0.072571,,,,,,,,,
451V,Ipswich VA Centre,9 Fore Street,Ipswich,IP,IP1 1BE,(01234) 123464,VA Facility,Government,no,Not Available,52.05721264,1.153367828,,,,,,,,,
452V,Inverness VA Centre,10 Fore Street,Inverness,IV,IV1 1DN,(01234) 123465,VA Facility,Government,no,Not Available,57.47961075,-4.226781688,,,,,,,,,
453V,Kilmarnock VA Centre,11 Fore Street,Kilmarnock,KA,KA1 1DD,(01234) 123466,VA Facility,Government,no,Not Available,55.61094806,-4.498642159,,,,,,,,,
454V,Cobham VA Centre,12 Fore Street,Cobham,KT,KT1 1DJ,(01234) 123467,VA Facility,Government,no,Not Available,51.41006342,-0.302056149,,,,,,,,,
455,KirkwallVA Centre,13 Fore Street,Kirkwall,KW,KW1 4AP,(01234) 123468,VA Facility,Government,No,Not available ,58.44151124,-3.092934153,,,,,,,,,
456,KirkcaldyVA Centre,14 Fore Street,Kirkcaldy,KY,KY1 1AB,(01234) 123469,VA Facility,Government,No,Not available ,56.09885556,-3.166243041,,,,,,,,,
457,LiverpoolVA Centre,15 Fore Street,Liverpool,L1,L1 0AJ,(01234) 123470,VA Facility,Government,No,Not available ,53.39674185,-2.983409234,,,,,,,,,
458,LiverpoolVA Centre,16 Fore Street,Liverpool,L2,L2 0QD,(01234) 123471,VA Facility,Government,No,Not available ,53.40611099,-2.992861487,,,,,,,,,
459,LiverpoolVA Centre,17 Fore Street,Liverpool,L3,L3 1DX,(01234) 123472,VA Facility,Government,No,Not available ,53.412555,-2.999556,,,,,,,,,
460,LiverpoolVA Centre,18 Fore Street,Liverpool,L4,L4 0RQ,(01234) 123473,VA Facility,Government,No,Not available ,53.42960701,-2.961125079,,,,,,,,,
461,LiverpoolVA Centre,19 Fore Street,Liverpool,L5,L5 0PJ,(01234) 123474,VA Facility,Government,No,Not available ,53.42657561,-2.970282175,,,,,,,,,
462,LiverpoolVA Centre,20 Fore Street,Liverpool,L6,L6 0AH,(01234) 123475,VA Facility,Government,No,Not available ,53.426537,-2.950596,,,,,,,,,
463,LiverpoolVA Centre,21 Fore Street,Liverpool,L7,L7 0ED,(01234) 123476,VA Facility,Government,No,Not available ,53.410213,-2.946065,,,,,,,,,
464,LiverpoolVA Centre,22 Fore Street,Liverpool,L8,L8 0HA,(01234) 123477,VA Facility,Government,No,Not available ,53.39165898,-2.952886351,,,,,,,,,
465,LiverpoolVA Centre,23 Fore Street,Liverpool,L9,L9 0EG,(01234) 123478,VA Facility,Government,No,Not available ,53.46404675,-2.95722,,,,,,,,,
466,LancasterVA Centre,24 Fore Street,Lancaster,LA,LA1 1AB,(01234) 123479,VA Facility,Government,No,Not available ,54.047941,-2.804344262,,,,,,,,,
467,Llandrindod WellsVA Centre,25 Fore Street,Llandrindod Wells,LD,LD1 5AB,(01234) 123480,VA Facility,Government,No,Not available ,52.25303128,-3.370459366,,,,,,,,,
468,LeicesterVA Centre,26 Fore Street,Leicester,LE,LE1 1DD,(01234) 123481,VA Facility,Government,No,Not available ,52.635039,-1.131614,,,,,,,,,
469,LlandudnoVA Centre,27 Fore Street,Llandudno,LL,LL11 0BY,(01234) 123482,VA Facility,Government,No,Not available ,53.04889153,-3.000084772,,,,,,,,,
470,LincolnVA Centre,28 Fore Street,Lincoln,LN,LN1 1AD,(01234) 123483,VA Facility,Government,No,Not available ,53.24583697,-0.556349815,,,,,,,,,
471,LeedsVA Centre,29 Fore Street,Leeds,LS,LS1 4WL,(01234) 123484,VA Facility,Government,No,Not available ,53.7963037,-1.564125592,,,,,,,,,
472,LutonVA Centre,30 Fore Street,Luton,LU,LU1 1BE,(01234) 123485,VA Facility,Government,No,Not available ,51.88092123,-0.423706923,,,,,,,,,
473,ManchesterVA Centre,31 Fore Street,Manchester,M1,M1 1AD,(01234) 123486,VA Facility,Government,No,Not available ,53.48384685,-2.244839,,,,,,,,,
474,ManchesterVA Centre,32 Fore Street,Manchester,M2,M2 1BB,(01234) 123487,VA Facility,Government,No,Not available ,53.48166073,-2.241752576,,,,,,,,,
475,ManchesterVA Centre,33 Fore Street,Manchester,M3,M3 1EB,(01234) 123488,VA Facility,Government,No,Not available ,53.491094,-2.24883,,,,,,,,,
476,ManchesterVA Centre,34 Fore Street,Manchester,M4,M4 1BE,(01234) 123489,VA Facility,Government,No,Not available ,53.48509517,-2.236844275,,,,,,,,,
477,ManchesterVA Centre,35 Fore Street,Manchester,M5,M5 3AF,(01234) 123490,VA Facility,Government,No,Not available ,53.47643226,-2.281484136,,,,,,,,,
478,ManchesterVA Centre,36 Fore Street,Manchester,M6,M6 5AP,(01234) 123491,VA Facility,Government,No,Not available ,53.48581774,-2.280838026,,,,,,,,,
479,ManchesterVA Centre,37 Fore Street,Manchester,M7,M7 1BF,(01234) 123492,VA Facility,Government,No,Not available ,53.49063019,-2.267516191,,,,,,,,,
480,ManchesterVA Centre,38 Fore Street,Manchester,M8,M8 0AD,(01234) 123493,VA Facility,Government,No,Not available ,53.507303,-2.224846,,,,,,,,,
481,ManchesterVA Centre,39 Fore Street,Manchester,M9,M9 0GL,(01234) 123494,VA Facility,Government,No,Not available ,53.53793471,-2.233970779,,,,,,,,,
482,RochesterVA Centre,40 Fore Street,Rochester,ME,ME1 1AG,(01234) 123495,VA Facility,Government,No,Not available ,51.38227962,0.505345352,,,,,,,,,
483,Milton KeynesVA Centre,41 Fore Street,Milton Keynes,MK,MK1 1BP,(01234) 123496,VA Facility,Government,No,Not available ,52.00044423,-0.717705427,,,,,,,,,
484,MotherwellVA Centre,42 Fore Street,Motherwell,ML,ML1 1BP,(01234) 123497,VA Facility,Government,No,Not available ,55.79477512,-3.996398212,,,,,,,,,
485,North London VA Centre,43 Fore Street,North London ,N1,N1 0AQ,(01234) 123498,VA Facility,Government,No,Not available ,51.53987847,-0.122151996,,,,,,,,,
486,North London VA Centre,44 Fore Street,North London ,N2,N2 0AE,(01234) 123499,VA Facility,Government,No,Not available ,51.58525083,-0.171467698,,,,,,,,,
487,North London VA Centre,45 Fore Street,North London ,N3,N3 1AP,(01234) 123500,VA Facility,Government,No,Not available ,51.60988221,-0.194207244,,,,,,,,,
488,North London VA Centre,46 Fore Street,North London ,N4,N4 1AE,(01234) 123501,VA Facility,Government,No,Not available ,51.57818483,-0.100266693,,,,,,,,,
489,North London VA Centre,47 Fore Street,North London ,N5,N5 1AG,(01234) 123502,VA Facility,Government,No,Not available ,51.55507036,-0.101143397,,,,,,,,,
490,North London VA Centre,48 Fore Street,North London ,N6,N6 4AG,(01234) 123503,VA Facility,Government,No,Not available ,51.57467735,-0.15636,,,,,,,,,
491,North London VA Centre,49 Fore Street,North London ,N7,N7 0AH,(01234) 123504,VA Facility,Government,No,Not available ,51.55672256,-0.131801599,,,,,,,,,
492,North London VA Centre,50 Fore Street,North London ,N8,N8 0AJ,(01234) 123505,VA Facility,Government,No,Not available ,51.58368924,-0.104223091,,,,,,,,,
493,North London VA Centre,51 Fore Street,North London ,N9,N9 0AT,(01234) 123506,VA Facility,Government,No,Not available ,51.62609753,-0.032628926,,,,,,,,,
494,Newcastle Upon TyneVA Centre,52 Fore Street,Newcastle Upon Tyne,NE,NE1 1EZ,(01234) 123507,VA Facility,Government,No,Not available ,54.97154764,-1.612547907,,,,,,,,,
495,NottinghamVA Centre,53 Fore Street,Nottingham,NG,NG1 1BZ,(01234) 123508,VA Facility,Government,No,Not available ,52.95604869,-1.140905729,,,,,,,,,
496,NorthamptonVA Centre,54 Fore Street,Northampton,NN,NN1 1DD,(01234) 123509,VA Facility,Government,No,Not available ,52.23627951,-0.894601704,,,,,,,,,
497,NewportVA Centre,55 Fore Street,Newport,NP,NP10 0AN,(01234) 123510,VA Facility,Government,No,Not available ,51.59418615,-3.053384065,,,,,,,,,
498,NorwichVA Centre,56 Fore Street,Norwich,NR,NR1 1BG,(01234) 123511,VA Facility,Government,No,Not available ,52.62928498,1.300921057,,,,,,,,,
499,North West LondonVA Centre,57 Fore Street,North West London,NW,NW1 0BH,(01234) 123512,VA Facility,Government,No,Not available ,51.53993475,-0.13413311,,,,,,,,,
500,OldhamVA Centre,58 Fore Street,Oldham,OL,OL1 1BD,(01234) 123513,VA Facility,Government,No,Not available ,53.53956427,-2.115408914,,,,,,,,,
501,OxfordVA Centre,59 Fore Street,Oxford,OX,OX1 1AW,(01234) 123514,VA Facility,Government,No,Not available ,51.74879097,-1.258713267,,,,,,,,,
502,PaisleyVA Centre,60 Fore Street,Paisley,PA,PA1 1BX,(01234) 123515,VA Facility,Government,No,Not available ,55.84645074,-4.4253291,,,,,,,,,
503,PeterboroughVA Centre,61 Fore Street,Peterborough,PE,PE1 1DP,(01234) 123516,VA Facility,Government,No,Not available ,52.57143714,-0.242615,,,,,,,,,
504,PerthVA Centre,62 Fore Street,Perth,PH,PH1 1BP,(01234) 123517,VA Facility,Government,No,Not available ,56.39051623,-3.456193905,,,,,,,,,
505,PlymouthVA Centre,63 Fore Street,Plymouth,PL,PL1 1DP,(01234) 123518,VA Facility,Government,No,Not available ,50.371173,-4.138759,,,,,,,,,
506,PortsmouthVA Centre,64 Fore Street,Portsmouth,PO,PO1 1BJ,(01234) 123519,VA Facility,Government,No,Not available ,50.80006156,-1.07887567,,,,,,,,,
507,PrestonVA Centre,65 Fore Street,Preston,PR,PR1 0AJ,(01234) 123520,VA Facility,Government,No,Not available ,53.75226932,-2.725233339,,,,,,,,,
508,ReadingVA Centre,66 Fore Street,Reading,RG,RG1 1DX,(01234) 123521,VA Facility,Government,No,Not available ,51.45693188,-0.97403499,,,,,,,,,
509,RedhillVA Centre,67 Fore Street,Redhill,RH,RH1 1AT,(01234) 123522,VA Facility,Government,No,Not available ,51.24248652,-0.163301677,,,,,,,,,
510,RomfordVA Centre,68 Fore Street,Romford,RM,RM1 1AU,(01234) 123523,VA Facility,Government,No,Not available ,51.57595201,0.180118,,,,,,,,,
511,SheffieldVA Centre,69 Fore Street,Sheffield,S1,S1 1GS,(01234) 123524,VA Facility,Government,No,Not available ,53.38154939,-1.464295,,,,,,,,,
512,SheffieldVA Centre,70 Fore Street,Sheffield,S2,S2 1BD,(01234) 123525,VA Facility,Government,No,Not available ,53.36976716,-1.417880803,,,,,,,,,
513,SheffieldVA Centre,71 Fore Street,Sheffield,S3,S3 7AP,(01234) 123526,VA Facility,Government,No,Not available ,53.384084,-1.481567,,,,,,,,,
514,SheffieldVA Centre,72 Fore Street,Sheffield,S4,S4 7AS,(01234) 123527,VA Facility,Government,No,Not available ,53.40200525,-1.453087462,,,,,,,,,
515,SheffieldVA Centre,73 Fore Street,Sheffield,S5,S5 0AW,(01234) 123528,VA Facility,Government,No,Not available ,53.43271698,-1.450586247,,,,,,,,,
516,SheffieldVA Centre,74 Fore Street,Sheffield,S6,S6 1AP,(01234) 123529,VA Facility,Government,No,Not available ,53.43346252,-1.495310428,,,,,,,,,
517,SheffieldVA Centre,75 Fore Street,Sheffield,S7,S7 1DA,(01234) 123530,VA Facility,Government,No,Not available ,53.36567092,-1.47876939,,,,,,,,,
518,SheffieldVA Centre,76 Fore Street,Sheffield,S8,S8 0BH,(01234) 123531,VA Facility,Government,No,Not available ,53.335716,-1.490067,,,,,,,,,
519,SheffieldVA Centre,77 Fore Street,Sheffield,S9,S9 1AQ,(01234) 123532,VA Facility,Government,No,Not available ,53.41462845,-1.425031953,,,,,,,,,
520,SwanseaVA Centre,78 Fore Street,Swansea,SA,SA1 1DP,(01234) 123533,VA Facility,Government,No,Not available ,51.619758,-3.939351,,,,,,,,,
521,South East LondonVA Centre,79 Fore Street,South East London,SE,SE1 0AL,(01234) 123534,VA Facility,Government,No,Not available ,51.50475637,-0.096103121,,,,,,,,,
522,StevenageVA Centre,80 Fore Street,Stevenage,SG,SG1 1DS,(01234) 123535,VA Facility,Government,No,Not available ,51.90337926,-0.201489032,,,,,,,,,
523,StockportVA Centre,81 Fore Street,Stockport,SK,SK1 1ED,(01234) 123536,VA Facility,Government,No,Not available ,53.40756018,-2.161561721,,,,,,,,,
524,SloughVA Centre,82 Fore Street,Slough,SL,SL0 0AT,(01234) 123537,VA Facility,Government,No,Not available ,51.52713771,-0.507918367,,,,,,,,,
525,SuttonVA Centre,83 Fore Street,Sutton,SM,SM1 1BS,(01234) 123538,VA Facility,Government,No,Not available ,51.360305,-0.19364051,,,,,,,,,
526,SwindonVA Centre,84 Fore Street,Swindon,SN,SN1 1BL,(01234) 123539,VA Facility,Government,No,Not available ,51.561975,-1.786624,,,,,,,,,
527,SouthamptonVA Centre,85 Fore Street,Southampton,SO,SO14 0AP,(01234) 123540,VA Facility,Government,No,Not available ,50.91112558,-1.398131112,,,,,,,,,
528,SalisburyVA Centre,86 Fore Street,Salisbury,SP,SP1 1BT,(01234) 123541,VA Facility,Government,No,Not available ,51.0696397,-1.797270611,,,,,,,,,
529,SunderlandVA Centre,87 Fore Street,Sunderland,SR,SR1 1EA,(01234) 123542,VA Facility,Government,No,Not available ,54.907177,-1.378205,,,,,,,,,
530,Southend-on-SeaVA Centre,88 Fore Street,Southend-on-Sea,SS,SS0 0AL,(01234) 123543,VA Facility,Government,No,Not available ,51.55546561,0.679119396,,,,,,,,,
531,Stoke-on-TrentVA Centre,89 Fore Street,Stoke-on-Trent,ST,ST1 1DR,(01234) 123544,VA Facility,Government,No,Not available ,53.02514251,-2.177764367,,,,,,,,,
532,South West LondonVA Centre,90 Fore Street,South West London,SW,SW10 0AR,(01234) 123545,VA Facility,Government,No,Not available ,51.485023,-0.179614,,,,,,,,,
533,ShrewsburyVA Centre,91 Fore Street,Shrewsbury,SY,SY1 1DL,(01234) 123546,VA Facility,Government,No,Not available ,52.70861159,-2.7506812,,,,,,,,,
534,TauntonVA Centre,92 Fore Street,Taunton,TA,TA1 1BH,(01234) 123547,VA Facility,Government,No,Not available ,51.02269464,-3.10823,,,,,,,,,
535,GalashielsVA Centre,93 Fore Street,Galashiels,TD,TD1 1DU,(01234) 123548,VA Facility,Government,No,Not available ,55.61543127,-2.812145,,,,,,,,,
536,TelfordVA Centre,94 Fore Street,Telford,TF,TF1 1DD,(01234) 123549,VA Facility,Government,No,Not available ,52.70189545,-2.519273834,,,,,,,,,
537,TonbridgeVA Centre,95 Fore Street,Tonbridge,TN,TN1 1DG,(01234) 123550,VA Facility,Government,No,Not available ,51.12727396,0.259921652,,,,,,,,,
538,TorquayVA Centre,96 Fore Street,Torquay,TQ,TQ1 1DD,(01234) 123551,VA Facility,Government,No,Not available ,50.46197025,-3.523943679,,,,,,,,,
539,TruroVA Centre,97 Fore Street,Truro,TR,TR1 1BY,(01234) 123552,VA Facility,Government,No,Not available ,50.27052113,-5.048427012,,,,,,,,,
540,ClevelandVA Centre,98 Fore Street,Cleveland,TS,TS1 1HG,(01234) 123553,VA Facility,Government,No,Not available ,54.578368,-1.231993,,,,,,,,,
541,TwickenhamVA Centre,99 Fore Street,Twickenham,TW,TW1 1BA,(01234) 123554,VA Facility,Government,No,Not available ,51.45286834,-0.33092348,,,,,,,,,
542,SouthallVA Centre,100 Fore Street,Southall,UB,UB1 1BF,(01234) 123555,VA Facility,Government,No,Not available ,51.51604468,-0.383296458,,,,,,,,,
543,West London VA Centre,101 Fore Street,West London ,W1,W10 4AQ,(01234) 123556,VA Facility,Government,No,Not available ,51.53204088,-0.21395628,,,,,,,,,
544,West London VA Centre,102 Fore Street,West London ,W2,W2 1BS,(01234) 123557,VA Facility,Government,No,Not available ,51.52236048,-0.173944729,,,,,,,,,
545,West London VA Centre,103 Fore Street,West London ,W3,W3 0AQ,(01234) 123558,VA Facility,Government,No,Not available ,51.52097816,-0.274496724,,,,,,,,,
546,West London VA Centre,104 Fore Street,West London ,W4,W4 1AP,(01234) 123559,VA Facility,Government,No,Not available ,51.50251606,-0.256203835,,,,,,,,,
547,West London VA Centre,105 Fore Street,West London ,W5,W5 1AQ,(01234) 123560,VA Facility,Government,No,Not available ,51.52963267,-0.302498849,,,,,,,,,
548,West London VA Centre,106 Fore Street,West London ,W6,W6 0AQ,(01234) 123561,VA Facility,Government,No,Not available ,51.50035394,-0.229531106,,,,,,,,,
549,West London VA Centre,107 Fore Street,West London ,W7,W7 1JP,(01234) 123562,VA Facility,Government,No,Not available ,51.52582799,-0.335061251,,,,,,,,,
550,West London VA Centre,108 Fore Street,West London ,W8,W8 4AQ,(01234) 123563,VA Facility,Government,No,Not available ,51.50528671,-0.19154407,,,,,,,,,
551,West London VA Centre,109 Fore Street,West London ,W9,W9 1AW,(01234) 123564,VA Facility,Government,No,Not available ,51.52403934,-0.180018,,,,,,,,,
552,WarringtonVA Centre,110 Fore Street,Warrington,WA,WA1 1ED,(01234) 123565,VA Facility,Government,No,Not available ,53.3878778,-2.594692307,,,,,,,,,
553,West Central LondonVA Centre,111 Fore Street,West Central London,WC,WC1A 1HB,(01234) 123566,VA Facility,Government,No,Not available ,51.516846,-0.128115,,,,,,,,,
554,WatfordVA Centre,112 Fore Street,Watford,WD,WD17 1BN,(01234) 123567,VA Facility,Government,No,Not available ,51.66108957,-0.40049238,,,,,,,,,
555,WakefieldVA Centre,113 Fore Street,Wakefield,WF,WF1 1DR,(01234) 123568,VA Facility,Government,No,Not available ,53.679835,-1.501379,,,,,,,,,
556,WiganVA Centre,114 Fore Street,Wigan,WN,WN1 1AZ,(01234) 123569,VA Facility,Government,No,Not available ,53.54583508,-2.629669137,,,,,,,,,
557,WorcesterVA Centre,115 Fore Street,Worcester,WR,WR1 1EE,(01234) 123570,VA Facility,Government,No,Not available ,52.19584041,-2.222843393,,,,,,,,,
558,WalsallVA Centre,116 Fore Street,Walsall,WS,WS1 1ER,(01234) 123571,VA Facility,Government,No,Not available ,52.58457523,-1.983589,,,,,,,,,
559,WolverhamptonVA Centre,117 Fore Street,Wolverhampton,WV,WV1 1ES,(01234) 123572,VA Facility,Government,No,Not available ,52.58541838,-2.124792,,,,,,,,,
560,YorkVA Centre,118 Fore Street,York,YO,YO1 0SQ,(01234) 123573,VA Facility,Government,No,Not available ,53.95963181,-1.0856321,,,,,,,,,
561,LerwickVA Centre,119 Fore Street,Lerwick,ZE,ZE1 0AT,(01234) 123574,VA Facility,Government,No,Not available ,60.15060807,-1.142888226,,,,,,,,,
